Break_extension	LC	Break_force	Force_drop	Fitting_error	Max_extension
8.360927	8.803322	536.154764	223.295423	366.636787	147.745831
24.257557	25.774747	440.391737	66.659237	251.194839	147.745831
33.833499	36.070127	445.086587	220.065075	121.116002	147.745831
52.620259	56.085020	437.262150	98.432606	211.783449	147.745831
60.617967	65.938948	392.723159	184.285260	59.829882	147.745831
70.395061	76.983093	320.378917	144.805627	58.524276	147.745831
82.504614	92.654580	217.072701	63.129666	7.935374	147.745831
93.954494	103.164158	316.023104	238.954427	33.700094	147.745831
121.220969	134.929520	201.215963	208.807730	46.083191	147.745831
